id,lat,lng,category,source
potential-map2-0316,50.39484,-4.16942,undifferentiated,1940s-map
potential-map2-0317,50.39496,-4.16853,undifferentiated,1940s-map
potential-map2-0318,50.39507,-4.16909,undifferentiated,1940s-map
potential-map2-0319,50.39526,-4.10801,undifferentiated,1940s-map
potential-map2-0320,50.39505,-4.17359,undifferentiated,1940s-map
potential-map2-0321,50.39503,-4.17048,undifferentiated,1940s-map
potential-map2-0322,50.39505,-4.15665,undifferentiated,1940s-map
potential-map2-0323,50.39502,-4.15207,undifferentiated,1940s-map
potential-map2-0324,50.39514,-4.12043,undifferentiated,1940s-map
potential-map2-0325,50.39510,-4.11904,undifferentiated,1940s-map
potential-map2-0326,50.39482,-4.16742,undifferentiated,1940s-map
potential-map2-0327,50.39487,-4.14649,undifferentiated,1940s-map
potential-map2-0328,50.39501,-4.07715,undifferentiated,1940s-map
potential-map2-0329,50.39464,-4.17821,undifferentiated,1940s-map
potential-map2-0330,50.39465,-4.17200,undifferentiated,1940s-map
potential-map2-0331,50.39471,-4.11842,undifferentiated,1940s-map
potential-map2-0332,50.39451,-4.18747,undifferentiated,1940s-map
potential-map2-0333,50.39459,-4.18278,undifferentiated,1940s-map
potential-map2-0334,50.39452,-4.16003,undifferentiated,1940s-map
potential-map2-0335,50.39452,-4.13744,undifferentiated,1940s-map
potential-map2-0336,50.39454,-4.11952,undifferentiated,1940s-map
potential-map2-0337,50.39439,-4.17046,undifferentiated,1940s-map
potential-map2-0338,50.39445,-4.14236,undifferentiated,1940s-map
potential-map2-0339,50.39430,-4.18370,undifferentiated,1940s-map
potential-map2-0340,50.39433,-4.17349,undifferentiated,1940s-map
potential-map2-0341,50.39430,-4.16865,undifferentiated,1940s-map
potential-map2-0342,50.39431,-4.16779,undifferentiated,1940s-map
potential-map2-0343,50.39397,-4.18113,undifferentiated,1940s-map
potential-map2-0344,50.39420,-4.18108,undifferentiated,1940s-map
potential-map2-0345,50.39422,-4.16634,undifferentiated,1940s-map
potential-map2-0346,50.39432,-4.11071,undifferentiated,1940s-map
potential-map2-0347,50.39417,-4.19595,undifferentiated,1940s-map
potential-map2-0348,50.39414,-4.17439,undifferentiated,1940s-map
potential-map2-0349,50.39406,-4.16996,undifferentiated,1940s-map
potential-map2-0350,50.39415,-4.11232,undifferentiated,1940s-map
potential-map2-0351,50.39397,-4.17904,undifferentiated,1940s-map
potential-map2-0352,50.39399,-4.16546,undifferentiated,1940s-map
potential-map2-0353,50.39398,-4.16135,undifferentiated,1940s-map
potential-map2-0354,50.39399,-4.13196,undifferentiated,1940s-map
potential-map2-0355,50.39404,-4.13133,undifferentiated,1940s-map
potential-map2-0356,50.39385,-4.18398,undifferentiated,1940s-map
potential-map2-0357,50.39381,-4.17978,undifferentiated,1940s-map
potential-map2-0358,50.39373,-4.18682,undifferentiated,1940s-map
potential-map2-0359,50.39378,-4.17535,undifferentiated,1940s-map
potential-map2-0360,50.39322,-4.16835,undifferentiated,1940s-map
potential-map2-0361,50.39238,-4.16834,undifferentiated,1940s-map
potential-map2-0362,50.39336,-4.16899,undifferentiated,1940s-map
potential-map2-0363,50.39345,-4.16755,undifferentiated,1940s-map
potential-map2-0364,50.39372,-4.16880,undifferentiated,1940s-map
potential-map2-0365,50.39267,-4.16867,undifferentiated,1940s-map
potential-map2-0366,50.39306,-4.16760,undifferentiated,1940s-map
potential-map2-0367,50.39352,-4.16820,undifferentiated,1940s-map
potential-map2-0368,50.39326,-4.16760,undifferentiated,1940s-map
potential-map2-0369,50.39297,-4.16892,undifferentiated,1940s-map
potential-map2-0370,50.39372,-4.15501,undifferentiated,1940s-map
potential-map2-0371,50.39374,-4.11154,undifferentiated,1940s-map
potential-map2-0372,50.39375,-4.09999,undifferentiated,1940s-map
potential-map2-0373,50.39363,-4.16952,undifferentiated,1940s-map
potential-map2-0374,50.39371,-4.10367,undifferentiated,1940s-map
potential-map2-0375,50.39347,-4.18436,undifferentiated,1940s-map
potential-map2-0376,50.39353,-4.10088,undifferentiated,1940s-map
potential-map2-0377,50.39299,-4.18640,undifferentiated,1940s-map
potential-map2-0378,50.39314,-4.11202,undifferentiated,1940s-map
